dateDataRecieved,departAirportCode,departAirportName,arrivalAirportCode,arrivalAirportName,departDate,arrivalDate,depTime,arrivalTime,journeyDuration,flightNumber,routeGroup,JourneyType,availableSeats,totalNumberOfStops,totalPrice,currency,fareCount,farePublishedFare,flightKey
2023-03-28,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-05,2023-04-05,09:25:00,11:55:00,02:30,FR 6269,LEISURE,SUN_BREAK,4,1,140.77,EUR,1,140.77,FR~6269~ ~~CRL~04/05/2023 09:25~PMO~04/05/2023 11:55~~
2023-03-28,CRL,Brussels (Charleroi),FAO,Faro,2023-04-05,2023-04-05,12:25:00,14:20:00,02:55,FR 2941,LEISURE,SUN_BREAK,4,1,168.17,EUR,1,168.17,FR~2941~ ~~CRL~04/05/2023 12:25~FAO~04/05/2023 14:20~~
2023-03-28,CRL,Brussels (Charleroi),FAO,Faro,2023-04-05,2023-04-05,16:20:00,18:15:00,02:55,FR 6312,LEISURE,SUN_BREAK,1,1,117.69,EUR,1,117.69,FR~6312~ ~~CRL~04/05/2023 16:20~FAO~04/05/2023 18:15~~
2023-03-28,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-05,2023-04-05,10:00:00,12:25:00,02:25,FR 3534,LEISURE,SUN_BREAK,1,1,117.69,EUR,1,117.69,FR~3534~ ~~CRL~04/05/2023 10:00~ALC~04/05/2023 12:25~~
2023-03-28,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-05,2023-04-05,14:45:00,17:10:00,02:25,FR 9053,LEISURE,SUN_BREAK,5,1,129.87,EUR,1,129.87,FR~9053~ ~~CRL~04/05/2023 14:45~ALC~04/05/2023 17:10~~
2023-03-28,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-05,2023-04-06,21:55:00,00:20:00,02:25,FR 6063,LEISURE,SUN_BREAK,2,1,117.69,EUR,1,117.69,FR~6063~ ~~CRL~04/05/2023 21:55~ALC~04/06/2023 00:20~~
2023-03-28,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-05,2023-04-05,06:45:00,09:30:00,02:45,FR 1916,LEISURE,SUN_BREAK,3,1,155.09,EUR,1,155.09,FR~1916~ ~~CRL~04/05/2023 06:45~AGP~04/05/2023 09:30~~
2023-03-28,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-05,2023-04-05,06:55:00,09:05:00,02:10,FR 7831,LEISURE,SUN_BREAK,4,1,117.69,EUR,1,117.69,FR~7831~ ~~CRL~04/05/2023 06:55~PMI~04/05/2023 09:05~~
2023-03-28,CRL,Brussels (Charleroi),NAP,Naples,2023-04-06,2023-04-06,06:25:00,08:40:00,02:15,FR 1302,LEISURE,SUN_BREAK,2,1,97.2,EUR,1,97.2,FR~1302~ ~~CRL~04/06/2023 06:25~NAP~04/06/2023 08:40~~
2023-03-28,CRL,Brussels (Charleroi),FAO,Faro,2023-04-06,2023-04-06,11:25:00,13:20:00,02:55,FR 2941,LEISURE,SUN_BREAK,3,1,156.27,EUR,1,156.27,FR~2941~ ~~CRL~04/06/2023 11:25~FAO~04/06/2023 13:20~~
2023-03-28,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-06,2023-04-06,09:00:00,11:25:00,02:25,FR 9053,LEISURE,SUN_BREAK,1,1,133.54,EUR,1,133.54,FR~9053~ ~~CRL~04/06/2023 09:00~ALC~04/06/2023 11:25~~
2023-03-28,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-06,2023-04-06,15:05:00,17:30:00,02:25,FR 3534,LEISURE,SUN_BREAK,-1,1,101.59,EUR,1,101.59,FR~3534~ ~~CRL~04/06/2023 15:05~ALC~04/06/2023 17:30~~
2023-03-28,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-04-06,2023-04-06,10:20:00,12:45:00,02:25,FR 6456,LEISURE,SUN_BREAK,1,1,173.8,EUR,1,173.8,FR~6456~ ~~CRL~04/06/2023 10:20~IBZ~04/06/2023 12:45~~
2023-03-28,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-06,2023-04-06,17:30:00,20:15:00,02:45,FR 1916,LEISURE,SUN_BREAK,4,1,177.4,EUR,1,177.4,FR~1916~ ~~CRL~04/06/2023 17:30~AGP~04/06/2023 20:15~~
2023-03-28,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-06,2023-04-06,17:45:00,19:55:00,02:10,FR 7831,LEISURE,SUN_BREAK,3,1,129.87,EUR,1,129.87,FR~7831~ ~~CRL~04/06/2023 17:45~PMI~04/06/2023 19:55~~
2023-03-28,BRU,Brussels,PMI,Mallorca,2023-04-07,2023-04-07,11:00:00,13:15:00,02:15,FR 2915,LEISURE,SUN_BREAK,4,1,275.29,EUR,1,275.29,FR~2915~ ~~BRU~04/07/2023 11:00~PMI~04/07/2023 13:15~~
2023-03-28,CRL,Brussels (Charleroi),RHO,Rhodes,2023-04-07,2023-04-07,07:55:00,12:30:00,03:35,FR 8577,LEISURE,SUN_BREAK,4,1,149.82,EUR,1,154.99,FR~8577~ ~~CRL~04/07/2023 07:55~RHO~04/07/2023 12:30~~
